case:concept:name,label,n_events,start_time,end_time,throughput_seconds
Case129,false,10,2012-03-06 17:50:00+00:00,2012-03-20 09:11:00+00:00,1178460.0
Case13,true,7,2012-01-17 15:17:00+00:00,2012-01-18 11:42:00+00:00,73500.0
Case130,true,1,2012-03-08 01:08:00+00:00,2012-03-08 01:08:00+00:00,0.0
Case133,true,4,2012-03-28 01:15:00+00:00,2012-03-29 16:03:00+00:00,139680.0
Case134,true,4,2012-03-29 19:49:00+00:00,2012-03-31 05:45:00+00:00,122160.0
Case135,true,14,2012-03-22 06:30:00+00:00,2012-03-26 06:38:00+00:00,346080.0
Case136,true,3,2012-03-29 23:34:00+00:00,2012-03-30 07:21:00+00:00,28020.0
Case137,true,4,2012-03-27 23:38:00+00:00,2012-03-30 11:50:00+00:00,216720.0
Case138,true,5,2012-03-26 18:01:00+00:00,2012-03-27 18:09:00+00:00,86880.0
Case139,true,1,2012-03-15 07:45:00+00:00,2012-03-15 07:45:00+00:00,0.0
Case141,true,1,2012-03-26 01:15:00+00:00,2012-03-26 01:15:00+00:00,0.0
Case142,true,2,2012-03-22 16:06:00+00:00,2012-03-26 11:10:00+00:00,327840.0
Case144,true,2,2012-03-30 01:00:00+00:00,2012-03-30 09:57:00+00:00,32220.0
Case145,false,16,2012-02-17 00:42:00+00:00,2012-03-11 08:08:00+00:00,2013960.0
Case147,true,8,2012-03-11 23:12:00+00:00,2012-03-13 14:03:00+00:00,139860.0
Case148,false,7,2012-01-11 11:30:00+00:00,2012-02-26 14:53:00+00:00,3986580.0
Case153,true,5,2012-01-02 19:50:00+00:00,2012-01-06 01:00:00+00:00,277800.0
Case155,true,12,2012-01-06 11:56:00+00:00,2012-01-13 01:00:00+00:00,565440.0
Case156,false,12,2012-02-20 23:50:00+00:00,2012-03-06 16:25:00+00:00,1269300.0
Case163,false,6,2012-01-09 01:00:00+00:00,2012-01-24 01:00:00+00:00,1296000.0
Case17,true,16,2012-02-26 20:43:00+00:00,2012-02-29 15:40:00+00:00,241020.0
Case175,true,1,2012-01-31 07:30:00+00:00,2012-01-31 07:30:00+00:00,0.0
Case177,false,6,2012-01-04 10:25:00+00:00,2012-01-17 12:50:00+00:00,1131900.0
Case18,false,66,2012-01-18 05:31:00+00:00,2012-01-31 07:14:00+00:00,1129380.0
Case182,false,2,2012-01-09 11:11:00+00:00,2012-03-06 17:45:00+00:00,4948440.0
Case185,false,21,2012-01-03 01:15:00+00:00,2012-03-30 08:40:00+00:00,7543500.0
Case187,false,28,2012-01-02 09:30:00+00:00,2012-01-29 12:19:00+00:00,2342940.0
Case190,false,5,2012-01-10 01:00:00+00:00,2012-02-14 11:10:00+00:00,3060600.0
Case192,false,63,2012-01-11 10:00:00+00:00,2012-02-26 14:04:00+00:00,3989040.0
Case195,false,14,2012-01-31 15:05:00+00:00,2012-02-15 14:05:00+00:00,1292400.0
Case196,false,2,2012-01-17 15:59:00+00:00,2012-02-19 14:09:00+00:00,2844600.0
Case198,true,4,2012-01-09 17:24:00+00:00,2012-01-10 07:09:00+00:00,49500.0
Case20,false,23,2012-01-15 14:06:00+00:00,2012-02-08 02:01:00+00:00,2030100.0
Case201,false,23,2012-01-04 01:15:00+00:00,2012-01-22 01:15:00+00:00,1555200.0
Case203,true,7,2012-01-08 10:43:00+00:00,2012-01-12 07:03:00+00:00,332400.0
Case207,true,17,2012-01-09 01:15:00+00:00,2012-01-13 08:00:00+00:00,369900.0
Case208,true,8,2012-01-04 15:57:00+00:00,2012-01-10 09:30:00+00:00,495180.0
Case209,true,12,2012-02-14 06:40:00+00:00,2012-02-23 01:00:00+00:00,757200.0
Case21,false,24,2012-01-12 17:55:00+00:00,2012-02-16 16:05:00+00:00,3017400.0
Case210,false,28,2012-01-03 16:00:00+00:00,2012-01-16 01:00:00+00:00,1069200.0
Case211,true,9,2012-01-08 15:02:00+00:00,2012-01-15 01:00:00+00:00,554280.0
Case212,true,6,2012-02-21 08:13:00+00:00,2012-02-29 01:34:00+00:00,667260.0
Case214,true,4,2012-02-20 13:50:00+00:00,2012-02-21 06:26:00+00:00,59760.0
Case215,false,12,2012-01-05 15:21:00+00:00,2012-01-17 09:30:00+00:00,1015740.0
Case219,true,7,2012-01-03 17:04:00+00:00,2012-01-10 05:19:00+00:00,562500.0
Case22,true,5,2012-01-23 07:00:00+00:00,2012-01-24 05:00:00+00:00,79200.0
Case222,true,1,2012-01-04 01:00:00+00:00,2012-01-04 01:00:00+00:00,0.0
Case223,false,24,2012-01-23 14:20:00+00:00,2012-02-17 01:00:00+00:00,2112000.0
Case224,true,3,2012-01-16 08:40:00+00:00,2012-01-19 16:50:00+00:00,288600.0
Case225,false,51,2012-01-05 15:52:00+00:00,2012-02-20 16:11:00+00:00,3975540.0
Case227,true,2,2012-01-05 01:00:00+00:00,2012-01-05 07:56:00+00:00,24960.0
Case228,true,3,2012-01-04 10:51:00+00:00,2012-01-09 12:30:00+00:00,437940.0
Case23,true,3,2012-01-23 10:32:00+00:00,2012-01-24 02:10:00+00:00,56280.0
Case230,true,10,2012-01-06 01:14:00+00:00,2012-01-09 23:51:00+00:00,340620.0
Case231,true,8,2012-01-12 15:27:00+00:00,2012-01-19 09:30:00+00:00,583380.0
Case233,true,4,2012-01-03 16:00:00+00:00,2012-01-04 04:34:00+00:00,45240.0
Case234,true,1,2012-01-30 15:19:00+00:00,2012-01-30 15:19:00+00:00,0.0
Case235,false,16,2012-01-16 14:12:00+00:00,2012-01-27 12:30:00+00:00,944280.0
Case236,true,8,2012-01-02 21:30:00+00:00,2012-01-06 01:00:00+00:00,271800.0
Case237,true,3,2012-01-03 01:15:00+00:00,2012-01-04 01:15:00+00:00,86400.0
Case238,true,15,2012-01-02 07:00:00+00:00,2012-01-05 11:32:00+00:00,275520.0
Case239,false,12,2012-01-15 06:38:00+00:00,2012-01-30 01:00:00+00:00,1275720.0
Case24,true,2,2012-01-17 23:24:00+00:00,2012-01-18 04:03:00+00:00,16740.0
Case240,true,14,2012-02-01 07:00:00+00:00,2012-02-07 13:40:00+00:00,542400.0
Case241,true,3,2012-01-16 01:15:00+00:00,2012-01-22 23:34:00+00:00,598740.0
Case243,true,4,2012-01-16 06:36:00+00:00,2012-01-16 16:39:00+00:00,36180.0
Case244,true,8,2012-01-09 17:49:00+00:00,2012-01-11 14:05:00+00:00,159360.0
Case245,false,15,2012-01-19 16:37:00+00:00,2012-02-17 06:54:00+00:00,2470620.0
Case246,true,3,2012-01-02 16:00:00+00:00,2012-01-03 15:29:00+00:00,84540.0
Case248,true,12,2012-01-08 15:53:00+00:00,2012-01-11 11:35:00+00:00,243720.0
Case249,true,19,2012-01-12 15:05:00+00:00,2012-01-22 01:00:00+00:00,813300.0
Case25,false,23,2012-01-19 12:26:00+00:00,2012-02-26 21:49:00+00:00,3316980.0
Case250,true,14,2012-01-03 16:00:00+00:00,2012-01-12 01:00:00+00:00,723600.0
Case251,false,14,2012-01-08 16:15:00+00:00,2012-02-23 13:35:00+00:00,3964800.0
Case252,true,11,2012-01-24 07:17:00+00:00,2012-01-30 01:00:00+00:00,495780.0
Case253,true,4,2012-01-09 05:49:00+00:00,2012-01-09 09:46:00+00:00,14220.0
Case254,true,7,2012-01-02 12:15:00+00:00,2012-01-06 10:25:00+00:00,339000.0
Case255,false,5,2012-01-02 18:00:00+00:00,2012-01-16 01:00:00+00:00,1148400.0
Case256,false,14,2012-01-16 17:51:00+00:00,2012-01-31 11:39:00+00:00,1273680.0
Case258,false,13,2012-01-17 00:00:00+00:00,2012-02-01 16:08:00+00:00,1354080.0
Case259,true,19,2012-01-17 15:00:00+00:00,2012-01-24 10:32:00+00:00,588720.0
Case260,false,27,2012-01-09 06:30:00+00:00,2012-01-31 09:29:00+00:00,1911540.0
Case261,true,10,2012-02-07 02:05:00+00:00,2012-02-14 08:11:00+00:00,626760.0
Case263,false,22,2012-01-02 11:00:00+00:00,2012-01-23 01:00:00+00:00,1778400.0
Case264,true,13,2012-03-26 15:28:00+00:00,2012-03-28 12:05:00+00:00,160620.0
Case265,false,16,2012-01-04 15:59:00+00:00,2012-01-19 12:01:00+00:00,1281720.0
Case266,true,15,2012-01-04 08:40:00+00:00,2012-01-08 12:50:00+00:00,360600.0
Case267,false,78,2012-01-05 17:58:00+00:00,2012-02-28 11:43:00+00:00,4643100.0
Case269,false,21,2012-01-09 17:30:00+00:00,2012-01-30 10:31:00+00:00,1789260.0
Case27,true,15,2012-01-18 17:51:00+00:00,2012-01-25 10:55:00+00:00,579840.0
Case271,true,5,2012-01-02 20:53:00+00:00,2012-01-03 15:36:00+00:00,67380.0
Case272,true,4,2012-01-24 12:30:00+00:00,2012-01-25 07:29:00+00:00,68340.0
Case273,false,15,2012-01-18 14:15:00+00:00,2012-02-09 18:00:00+00:00,1914300.0
Case274,true,13,2012-01-02 16:43:00+00:00,2012-01-05 01:00:00+00:00,202620.0
Case277,true,13,2012-01-02 16:00:00+00:00,2012-01-09 12:34:00+00:00,592440.0
Case29,false,8,2012-02-14 23:31:00+00:00,2012-02-26 09:47:00+00:00,987360.0
Case3,false,15,2012-01-29 17:59:00+00:00,2012-02-17 01:00:00+00:00,1580460.0
Case30,true,6,2012-02-29 10:00:00+00:00,2012-03-01 15:05:00+00:00,104700.0
Case31,true,4,2012-02-07 10:03:00+00:00,2012-02-08 05:12:00+00:00,68940.0
Case32,true,10,2012-01-24 15:45:00+00:00,2012-01-29 06:52:00+00:00,400020.0
Case33,true,6,2012-02-22 12:11:00+00:00,2012-02-23 01:21:00+00:00,47400.0
Case34,false,21,2012-01-29 17:43:00+00:00,2012-02-22 01:00:00+00:00,2013420.0
Case35,true,4,2012-02-27 23:43:00+00:00,2012-02-28 23:40:00+00:00,86220.0
Case36,false,23,2012-03-12 13:22:00+00:00,2012-03-30 11:45:00+00:00,1549380.0
Case37,false,15,2012-01-30 14:19:00+00:00,2012-02-13 09:08:00+00:00,1190940.0
Case38,false,19,2012-02-01 16:02:00+00:00,2012-03-09 12:03:00+00:00,3182460.0
Case39,true,13,2012-02-13 15:22:00+00:00,2012-02-19 16:07:00+00:00,521100.0
Case40,false,11,2012-01-30 23:41:00+00:00,2012-02-14 11:53:00+00:00,1253520.0
Case41,false,13,2012-01-25 11:15:00+00:00,2012-02-13 14:18:00+00:00,1652580.0
Case42,true,6,2012-03-11 23:29:00+00:00,2012-03-13 07:01:00+00:00,113520.0
Case45,true,5,2012-03-20 20:05:00+00:00,2012-03-26 15:57:00+00:00,503520.0
Case46,true,11,2012-01-29 01:15:00+00:00,2012-02-03 01:00:00+00:00,431100.0
Case5,true,2,2012-03-30 11:14:00+00:00,2012-03-30 11:43:00+00:00,1740.0
Case50,false,9,2012-03-02 11:36:00+00:00,2012-03-19 09:56:00+00:00,1462800.0
Case52,false,16,2012-02-09 06:36:00+00:00,2012-02-29 01:00:00+00:00,1707840.0
Case53,true,9,2012-03-14 15:56:00+00:00,2012-03-15 11:30:00+00:00,70440.0
Case54,true,6,2012-03-18 16:10:00+00:00,2012-03-19 22:59:00+00:00,110940.0
Case55,false,17,2012-02-09 17:48:00+00:00,2012-02-24 01:00:00+00:00,1235520.0
Case58,false,7,2012-02-09 11:16:00+00:00,2012-02-20 01:00:00+00:00,913440.0
Case59,true,8,2012-03-18 15:54:00+00:00,2012-03-22 11:08:00+00:00,328440.0
Case6,true,17,2012-02-06 06:30:00+00:00,2012-02-14 01:00:00+00:00,671400.0
Case60,true,13,2012-03-16 00:10:00+00:00,2012-03-21 01:00:00+00:00,435000.0
Case61,true,16,2012-02-16 16:05:00+00:00,2012-02-20 16:55:00+00:00,348600.0
Case62,false,16,2012-02-19 16:03:00+00:00,2012-03-19 11:03:00+00:00,2487600.0
Case63,true,8,2012-02-08 06:32:00+00:00,2012-02-12 10:45:00+00:00,360780.0
Case64,true,8,2012-03-15 23:59:00+00:00,2012-03-19 06:10:00+00:00,281460.0
Case65,true,6,2012-03-22 08:00:00+00:00,2012-03-30 12:00:00+00:00,705600.0
Case66,false,11,2012-02-19 10:58:00+00:00,2012-03-11 09:26:00+00:00,1808880.0
Case67,false,23,2012-02-02 22:53:00+00:00,2012-03-27 16:05:00+00:00,4641120.0
Case68,true,5,2012-02-27 15:00:00+00:00,2012-02-29 14:30:00+00:00,171000.0
Case69,true,3,2012-03-13 15:57:00+00:00,2012-03-20 10:58:00+00:00,586860.0
Case7,true,13,2012-03-11 19:35:00+00:00,2012-03-16 01:00:00+00:00,365100.0
Case70,true,15,2012-02-21 18:05:00+00:00,2012-02-27 23:45:00+00:00,538800.0
Case71,true,7,2012-03-15 12:26:00+00:00,2012-03-22 16:06:00+00:00,618000.0
Case72,true,10,2012-02-06 17:22:00+00:00,2012-02-14 12:39:00+00:00,674220.0
Case77,true,5,2012-01-31 16:01:00+00:00,2012-02-05 06:38:00+00:00,398220.0
Case78,false,24,2012-02-29 21:58:00+00:00,2012-03-11 06:35:00+00:00,895020.0
Case79,true,6,2012-03-12 18:01:00+00:00,2012-03-18 01:00:00+00:00,457140.0
Case80,true,2,2012-03-06 23:51:00+00:00,2012-03-07 06:52:00+00:00,25260.0
Case81,true,3,2012-03-23 12:44:00+00:00,2012-03-26 16:08:00+00:00,271440.0
Case82,true,4,2012-03-07 17:05:00+00:00,2012-03-08 05:30:00+00:00,44700.0
Case83,false,15,2012-03-13 01:15:00+00:00,2012-03-25 16:10:00+00:00,1090500.0
Case84,false,21,2012-02-23 16:48:00+00:00,2012-03-07 09:20:00+00:00,1096320.0
Case86,true,8,2012-03-25 06:44:00+00:00,2012-03-27 12:47:00+00:00,194580.0
Case89,true,13,2012-02-23 15:48:00+00:00,2012-02-27 12:23:00+00:00,333300.0
Case9,false,12,2012-01-30 15:59:00+00:00,2012-02-21 01:00:00+00:00,1846860.0
Case90,true,16,2012-02-23 15:49:00+00:00,2012-02-29 01:00:00+00:00,465060.0
Case92,true,3,2012-02-13 06:43:00+00:00,2012-02-14 00:46:00+00:00,64980.0
Case96,false,9,2012-03-18 13:53:00+00:00,2012-03-29 08:40:00+00:00,931620.0
Case97,false,12,2012-03-09 12:45:00+00:00,2012-03-22 08:40:00+00:00,1108500.0
Case98,true,4,2012-03-28 12:38:00+00:00,2012-03-29 09:30:00+00:00,75120.0
Case99,true,9,2012-03-22 16:03:00+00:00,2012-03-30 01:00:00+00:00,637020.0
